WhiteName,WhiteNameHash,BlackName,BlackNameHash,WhiteResult,BlackResult,WhiteRank,BlackRank,Date,Round
timman jan h,b1fc087a,karpov anatoly,655bb864,0.0,1.0,2620,2760,1993.??.??,1
karpov anatoly,655bb864,timman jan h,b1fc087a,0.0,1.0,2760,2620,1993.??.??,2
timman jan h,b1fc087a,karpov anatoly,655bb864,0.5,0.5,2620,2760,1993.??.??,3
karpov anatoly,655bb864,timman jan h,b1fc087a,0.5,0.5,2760,2620,1993.??.??,4
timman jan h,b1fc087a,karpov anatoly,655bb864,0.5,0.5,2620,2760,1993.??.??,5
karpov anatoly,655bb864,timman jan h,b1fc087a,1.0,0.0,2760,2620,1993.??.??,6
timman jan h,b1fc087a,karpov anatoly,655bb864,0.5,0.5,2620,2760,1993.??.??,7
karpov anatoly,655bb864,timman jan h,b1fc087a,0.5,0.5,2760,2620,1993.??.??,8
timman jan h,b1fc087a,karpov anatoly,655bb864,0.5,0.5,2620,2760,1993.??.??,9
karpov anatoly,655bb864,timman jan h,b1fc087a,1.0,0.0,2760,2620,1993.??.??,10
timman jan h,b1fc087a,karpov anatoly,655bb864,0.5,0.5,2620,2760,1993.??.??,11
karpov anatoly,655bb864,timman jan h,b1fc087a,0.5,0.5,2760,2620,1993.??.??,12
timman jan h,b1fc087a,karpov anatoly,655bb864,0.5,0.5,2620,2760,1993.??.??,13
karpov anatoly,655bb864,timman jan h,b1fc087a,1.0,0.0,2760,2620,1993.??.??,14
timman jan h,b1fc087a,karpov anatoly,655bb864,0.0,1.0,2620,2760,1993.??.??,15
karpov anatoly,655bb864,timman jan h,b1fc087a,1.0,0.0,2760,2620,1993.??.??,16
timman jan h,b1fc087a,karpov anatoly,655bb864,0.5,0.5,2620,2760,1993.??.??,17
karpov anatoly,655bb864,timman jan h,b1fc087a,0.5,0.5,2760,2620,1993.??.??,18
timman jan h,b1fc087a,karpov anatoly,655bb864,0.5,0.5,2620,2760,1993.??.??,19
karpov anatoly,655bb864,timman jan h,b1fc087a,0.0,1.0,2760,2620,1993.??.??,20
timman jan h,b1fc087a,karpov anatoly,655bb864,0.5,0.5,2620,2760,1993.??.??,21
karpov anatoly,655bb864,kamsky gata,ed0c2c64,1.0,0.0,2770,2735,1996.??.??,1
kamsky gata,ed0c2c64,karpov anatoly,655bb864,1.0,0.0,2735,2770,1996.??.??,2
karpov anatoly,655bb864,kamsky gata,ed0c2c64,0.5,0.5,2770,2735,1996.??.??,3
kamsky gata,ed0c2c64,karpov anatoly,655bb864,0.0,1.0,2735,2770,1996.??.??,4
karpov anatoly,655bb864,kamsky gata,ed0c2c64,0.5,0.5,2770,2735,1996.??.??,5
kamsky gata,ed0c2c64,karpov anatoly,655bb864,0.0,1.0,2735,2770,1996.??.??,6
karpov anatoly,655bb864,kamsky gata,ed0c2c64,1.0,0.0,2770,2735,1996.??.??,7
kamsky gata,ed0c2c64,karpov anatoly,655bb864,0.5,0.5,2735,2770,1996.??.??,8
karpov anatoly,655bb864,kamsky gata,ed0c2c64,1.0,0.0,2770,2735,1996.??.??,9
